yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,salary
1988,AL,BOS,BOS,E,1,162,81.0,89,73,Y,,N,N,813,5545,1569,310,39,124,623,728.0,65.0,36.0,,,689,629,3.97,26,14,37,4278,1415,143,493,1085,93,123.0,0.98,Boston Red Sox,Fenway Park II,2464851.0,105,104,BOS,BOS,BOS,13896092
1988,AL,DET,DET,E,2,162,81.0,88,74,N,,N,N,703,5433,1358,213,28,143,588,841.0,87.0,42.0,,,658,596,3.71,34,8,36,4335,1361,150,497,890,109,129.0,0.98,Detroit Tigers,Tiger Stadium,2081162.0,97,97,DET,DET,DET,12869571
1988,AL,ML4,MIL,E,3,162,81.0,87,75,N,,N,N,682,5488,1409,258,26,113,439,911.0,159.0,55.0,,,616,555,3.45,30,8,51,4347,1355,125,437,832,120,146.0,0.98,Milwaukee Brewers,County Stadium,1923238.0,101,100,MIL,MIL,MIL,8402000
1988,AL,TOR,TOR,E,3,162,81.0,87,75,N,,N,N,763,5557,1491,271,47,158,521,935.0,107.0,36.0,,,680,612,3.8,16,17,47,4347,1404,143,528,904,110,170.0,0.98,Toronto Blue Jays,Exhibition Stadium,2595175.0,100,99,TOR,TOR,TOR,12241225
1988,AL,NYA,NYY,E,5,161,80.0,85,76,N,,N,N,772,5592,1469,272,12,148,588,935.0,146.0,39.0,,,748,689,4.26,16,5,43,4368,1512,157,487,861,134,161.0,0.97,New York Yankees,Yankee Stadium II,2633701.0,99,100,NYY,NYA,NYA,19441152
1988,AL,CLE,CLE,E,6,162,81.0,78,84,N,,N,N,666,5505,1435,235,28,134,416,866.0,97.0,50.0,,,731,663,4.16,35,10,46,4302,1501,120,442,812,124,131.0,0.98,Cleveland Indians,Cleveland Stadium,1411610.0,102,103,CLE,CLE,CLE,8936500
1988,AL,BAL,BAL,E,7,161,80.0,54,107,N,,N,N,550,5358,1275,199,20,137,504,869.0,69.0,44.0,,,789,714,4.54,20,7,26,4248,1506,153,523,709,118,172.0,0.98,Baltimore Orioles,Memorial Stadium,1660738.0,97,98,BAL,BAL,BAL,13532075
1988,AL,OAK,OAK,W,1,162,81.0,104,58,Y,,Y,N,800,5602,1474,251,22,156,580,926.0,129.0,54.0,,,620,569,3.44,22,9,64,4467,1376,116,553,983,105,151.0,0.98,Oakland Athletics,Oakland Coliseum,2287335.0,97,96,OAK,OAK,OAK,9690000
1988,AL,MIN,MIN,W,2,162,81.0,91,71,N,,N,N,759,5510,1508,294,31,151,528,832.0,107.0,63.0,,,672,625,3.93,18,9,52,4293,1457,146,453,897,83,155.0,0.98,Minnesota Twins,Hubert H Humphrey Metrodome,3030672.0,103,102,MIN,MIN,MIN,12462666
1988,AL,KCA,KCR,W,3,161,80.0,84,77,N,,N,N,704,5469,1419,275,40,121,486,944.0,137.0,54.0,,,648,579,3.65,29,12,32,4284,1415,102,465,886,124,147.0,0.98,Kansas City Royals,Royals Stadium,2350181.0,101,101,KCR,KCA,KCA,14556562
